description,Comp,Pos,Neu,Neg
"This week’s episode of the Paramount Plus Halo series is causing controversy as the Master Chief, played by Pablo Schreiber, has a sex scene with a human Covenant spy.",0.34,0.085,0.915,0.0
Researchers have struggled to quantify in real time how much carbon dioxide humans spout. Lockdowns presented a unique opportunity to get a clearer picture.,0.1027,0.111,0.794,0.095
"Law enforcement agencies are finding new and flawed ways to try to arrest more people all the time. And police have been using posts on sites like Facebook and Instagram to track down and charge protestors suspected of property destruction for years. Now, new…",-0.6705,0.05,0.792,0.158
"The Spanish government sacked the country's spy chief Paz Esteban following the disclosure of the use of Pegasus software to spy on Spanish officials, El Pais newspaper said on Tuesday, citing unidentified government sources.",0.0,0.0,1.0,0.0
"""Squid Game"" star Lee Jung-jae flexes his filmmaking muscles with ""Hunt"", a spy thriller he wrote, directed, produced and also acts in.",0.1027,0.065,0.935,0.0
"Democratic systems in Australia's region are at risk of being manipulated, with their leaders controlled and taken advantage of through ""largesse"", Australia's overseas intelligence chief said in a rare public appearance on Tuesday.",0.1027,0.135,0.741,0.124
Paz Esteban reportedly loses job after Catalan independence figures were said to have been targetedThe Spanish government has reportedly sacked the country’s spy chief Paz Esteban following revelations that the intelligence service hacked the phones of leadin…,-0.2263,0.074,0.808,0.119
"Paz Estaban told committee spyware was used on 18 Catalan activists with judicial approval, sources sayThe Catalan government is calling for answers “from the highest level” after the head of Spain’s National Intelligence Centre (CNI) reportedly confirmed tha…",0.7351,0.147,0.853,0.0
"Former MI6 spy Christopher Steele told the LBC radio station that Putin is ""increasingly ill"" and takes regular treatments with an entourage of doctors.",-0.4215,0.0,0.891,0.109
"Mali's military rulers have accused the French army of repeatedly violating a controlled airspace over the country's centre and north to ""spy"" on its forces, the latest escalation of tensions between Paris and Bamako.",-0.8126,0.0,0.781,0.219
"Finland and Sweden must prepare for increased Russian spy operations, cyber attacks and attempts to influence lawmakers as they consider joining NATO after Moscow's invasion of Ukraine, the Nordic nations' intelligence chiefs said on Wednesday.",0.3182,0.13,0.798,0.072
"Australia's spy chief says Canberra is concerned Chinese police deployed to the Solomon Islands under a new security pact could use ""ruthless"" techniques previously used to quell anti-government protests in Hong Kong.",0.128,0.072,0.871,0.057
"North Korea's first confirmed COVID-19 outbreak spread after a massive military parade in Pyongyang in April, the South's Newsis news agency said on Wednesday, citing lawmakers briefed by the South's spy agency.",0.0,0.0,1.0,0.0
"The Swiss government proposed on Thursday letting its spy agency penetrate the country's famous banking secrecy to snoop on financial transactions that it suspects are funding terrorism, espionage or violent extremism.",-0.8979,0.0,0.72,0.28
"Writing for the New Yorker, Ronan Farrow reports on Pegasus, ""a spyware technology designed by NSO Group, an Israeli firm, which can extract the contents of a phone, giving access to its texts and photographs, or activate its camera and microphone to provide …",0.34,0.055,0.945,0.0
A businessman and an officer are charged with leaking secrets to a presumed agent from the North.,-0.2023,0.0,0.886,0.114
There was reason for optimism earlier in the week as the S&P 500 (SPY) advanced nicely after skirting bear market territory. But then on Tuesday WalMart had shockingly poor earnings...,-0.3612,0.154,0.678,0.168
"Australia's defence minister, Peter Dutton, said a Chinese intelligence ship had been tracked off the West Australian coast, describing it as an ""act of aggression"" by Beijing.",0.3182,0.152,0.774,0.074
"Britain will overhaul its espionage laws in the face of threats to national security ranging from cyber-attacks to pernicious lobbying that could undermine its economy, the country's interior minister said on Wednesday.",-0.4404,0.065,0.763,0.172
"Russia's foreign spy chief accused the United States and Poland on Thursday of plotting to gain a sphere of influence in Ukraine, the strongest signal from Moscow that the war could end with forced partition of Ukraine between the West and Russia.",0.0,0.171,0.658,0.171
"The United States believes that Russian President Vladimir Putin is preparing for a long conflict in Ukraine and a Russian victory in the Donbas in the east of the country might not end the war, U.S. Director of National Intelligence Avril Haines said on Tues…",0.7748,0.18,0.775,0.046
"The stock market (SPY) flirted with bear market territory last week before bouncing higher. However, this bounce feels different…like it might actually be the end of this downside scare. 40...",-0.6858,0.0,0.802,0.198
Bulls and bears have been squabbling over the direction of the stock market (SPY) since the start of the year. Right now the bears are winning. But the bulls have...,0.296,0.071,0.929,0.0
"Monday stocks retested the S&P 500’s (SPY) lowest levels of the 2022 correction. Yes, shares bounced higher into the open. Unfortunately that tells us nothing about what comes next. So...",-0.0258,0.136,0.724,0.139
"2022 has been a trying year for investors as the stock market (SPY) is in full on correction mode. Thus, the strategies that worked so well in 2021 are getting...",0.4101,0.089,0.911,0.0
"The S&P 500 (SPY) had a nice bounce and remains above its key level. However, the market faces some serious challenges in terms of inflation, a hawkish Fed, and now...",0.4215,0.135,0.822,0.043
We recently saw a headline that made us ask “what?!?” because it said an uptrend in the S&P 500 (NYSEARCA: SPY) had been confirmed. Our take on the market is...,0.0,0.0,1.0,0.0
Long gap until next set of hearings into undercover policing scandal criticised by victims of surveillanceWomen who were deceived into intimate relationships with undercover police officers have said it is “beyond belief” they will have to wait a further two …,-0.872,0.0,0.763,0.237
"CPS decided not to pursue case against undercover officer despite evidence he had broken the lawProsecutors decided that it was not in the public interest to prosecute an undercover police officer who stole the identity of a dead baby, despite concluding last…",-0.7964,0.06,0.739,0.202
"Schoolchildren as young as 14 targeted in 1975 for links to ‘subversive’ anti-fascist and socialist organisationsMI5 asked police chiefs to collect information about the political activities of schoolchildren as young as 14, a public inquiry into undercover p…",0.0,0.0,1.0,0.0
"Egypt’s religious and secular institutions both breed mistrust in Tarik Saleh’s superbly realised paranoid nightmareTarik Saleh is the Swedish-Egyptian director who made The Nile Hilton Incident in 2017, a shrewd, dyspeptic movie about the official corruption…",-0.25,0.0,0.944,0.056
"The women deceived by police, and other activists who were spied on, are denied justice by a process that is so drawn outThe public inquiry into undercover policing, which has just held its third phase of hearings, is on course to become one of the longest ev…",-0.34,0.065,0.824,0.111
"Luke Symons was captured by Houthi rebels and accused of being a spy but was never put on trialA British man who was held captive in Yemen without charge or trial for five years has been released from jail.In 2017, Luke Symons, 30, was held by Houthi rebels a…",-0.4939,0.0,0.896,0.104
"Putin has been breaking up meetings for medical treatment, says former M-I6 ""Trump dossier"" spy Christopher Steele.",0.0,0.0,1.0,0.0
U of T prof Pat Bayly headed up North America’s first spy school and developed an “unbreakable” cipher machine during the Second World War,-0.5994,0.0,0.843,0.157
"""Its intention, of course, is to collect intelligence right along the coastline,"" Australia's defense minister said.",0.5574,0.247,0.753,0.0
"Spy x Family is an anime from Wit Studio and CloverWorks following the Forger family. In the latest episode, Anya Forger punches Damian Desmond, and their relationship has inspired loads of memes online.",0.4939,0.094,0.906,0.0
"Filed under:
 Spy Photos,Pagani,Coupe,Luxury,Performance,Supercars
 Continue reading Pagani C10 spy photos give us a peek at the Huayra successor
Pagani C10 spy photos give us a peek at the Huayra successor originally appeared on Autoblog on Fri, 6 May 2022 1…",0.4215,0.098,0.902,0.0
"For those who tire of battle-centric shonen anime series and want a little bit more “aww” in their lives, these anime will warm your heart. Read more...",0.296,0.118,0.882,0.0
"A spy, a telepath, and an assassin walk into a bar.",0.0,0.0,1.0,0.0
"For years, undercover officers from the Metropolitan police deceived and manipulated female activists such as McDonald’s campaigner Helen Steel. Her new book reveals their callous tricksWith hindsight, the environmental activist Helen Steel, a key figure in t…",-0.6705,0.0,0.861,0.139
"Russian operatives trying to escalate online conflict and seeking targets in countries opposing war, says Jeremy Fleming<ul><li>Russia-Ukraine war: latest updates</li></ul>Russian hackers are seeking to target western countries supporting Ukraine in its effor…",-0.802,0.071,0.683,0.246
"The UK prime minister, Boris Johnson, will visit Finland and Sweden on Wednesday as they consider whether to apply for Nato membership<ul><li>Putin ‘preparing for prolonged war’, says US spy chief</li><li>UN: Ukraine civilian deaths may be thousands higher th…",0.0,0.0,1.0,0.0
"DNI Avril Haines said that Putin likely ""judges that Russia has a greater ability and willingness to endure challenges than his adversaries.""",0.7351,0.325,0.675,0.0
"A self-described ""comically terrible spy"" who is believed to have worked with federal authorities investigating the activities of Deutsche...",-0.4767,0.0,0.846,0.154
